id,task_id,origin,detected_at,rework_min,description
1,14,rtl-interface,sim,6,Missing hyperbus_phy.sv variant-selector module: tops instantiated hyperbus_phy but only _generic/_altera/_xilinx existed; design would not elaborate. Verify created the selector.
2,14,rtl-logic,sim,12,Generic PHY read-capture sampled DQ on the RWDS edge (data transition) -> shifted/garbage read words. Fixed to sample at DDR eye centres in the clk domain.
3,14,rtl-logic,sim,10,Generic PHY CK-gating produced a runt/extra pulse (clk90-domain resample) -> phantom 0x0000 word corrupted CR0 program and shifted writes. Fixed by gating clk90 with the clk-domain enable.
4,23,tool-flow,sim,1,"run.sh defined BENCH_SRCS but never invoked tb_bw (harness/flow gap, not RTL). Added the tb_bw run line."
5,28,tool-flow,pnr,4,Stale qsys make_bw_sys.qpf/.qsf blocked qsys-script regeneration. Cleaned scratch project.
6,28,integration,pnr,5,Mismatched _0/_1 IP instance naming between regenerated sub-IP and bw.qsf IP_FILE lines. Normalised to deterministic names.
7,28,constraint-timing,pnr,9,"UNRESOLVED: IOPLL cannot route clk(0deg, DQ DDIOs) + clk90(90deg, hb_ck DDIO) both into the I/O region (Quartus Err 24403/24404). hb_ck eye-centering needs the 2nd phase at the I/O; real fix = physical floorplan of hb_ck pad into a separate I/O sub-bank (needs AXC3000 package bank map) or hardened DDR-I/O. Not faked with single-phase CK."
8,29,spec-ambiguous,lab,20,"hb_ck/hb_cs_n on wrong balls: used User-Guide C7/B5, board actually wires D7/D8 (Arrow refdes, authoritative). Two vendor sources disagreed; caught ONLY on silicon (HyperRAM got no clock/select -> no transaction completed). Fixed pins.tcl to D7/D8 + re-fit."
9,29,integration,lab,0,"UNRESOLVED: with correct pins the HyperRAM still does not complete transactions on hardware (WR_CYC constant vs LEN, RD_CYC free-runs, STATUS busy+error never done). Control plane (JTAG-Avalon+CSR, MAGIC=HBWT) works. Needs SignalTap-level observation of hb_ck/hb_dq/hb_rwds/hb_cs_n during a transaction to isolate init/latency/read-capture. rework_min open."
10,29,rtl-logic,lab,60,"SDR PHY paired the device READ PREAMBLE (RWDS toggles with DQ Hi-Z before real data) into a phantom {0x00,0x00} word -> read hang. Fixed: RD_PREAMBLE_SKIP=1 (skip the leading preamble RWDS edge). Caught only on silicon via on-chip capture; reproduced in sim after modelling the preamble."
11,29,rtl-logic,lab,15,Read FIFOs (ctrl rd_fifo + PHY RXF) depth 8 capped completing reads at ~5 words; 16-word bursts hung. Fixed: deepened 8->32.
