id,module,file,block_class,loc,in_ports,out_ports,inout_ports,fsm_states,notes
1,hyperram_bw_test,rtl/bench/hyperram_bw_test.sv,bench-traffic-gen,310,10,7,0,7,
2,hyperram_bw_top,rtl/bench/hyperram_bw_top.sv,bench-top,161,10,11,0,0,
3,hyperbus_ctrl,rtl/hyperbus_ctrl.sv,protocol-FSM,507,19,17,0,15,
4,in,rtl/hyperbus_pkg.sv,other,159,11,0,0,2,aux
5,hyperram_avalon,rtl/hyperram_avalon.sv,top-wrapper,244,12,12,0,0,
6,hyperram_axi,rtl/hyperram_axi.sv,top-wrapper,307,24,20,0,0,
7,hyperbus_avalon,rtl/if/hyperbus_avalon.sv,Avalon-frontend,185,13,14,0,3,
8,hyperbus_axi,rtl/if/hyperbus_axi.sv,AXI4-frontend,395,27,23,0,7,
9,hyperbus_phy,rtl/phy/hyperbus_phy.sv,PHY-selector,100,14,11,0,0,
10,is,rtl/phy/hyperbus_phy_altera.sv,other,402,17,17,1,0,aux
11,hyperbus_phy_altera,rtl/phy/hyperbus_phy_altera.sv,PHY-DDR(Agilex),402,17,17,1,0,
12,hyperbus_phy_generic,rtl/phy/hyperbus_phy_generic.sv,PHY-DDR(sim),251,15,13,0,0,
13,timescale,rtl/phy/hyperbus_phy_generic.sv,other,251,15,13,0,0,aux
14,elaboratable,rtl/phy/hyperbus_phy_xilinx.sv,other,106,14,11,0,0,aux
15,hyperbus_phy_xilinx,rtl/phy/hyperbus_phy_xilinx.sv,PHY-DDR(Xilinx),106,14,11,0,0,
16,elaborates,rtl/phy/hyperbus_phy_xilinx.sv,other,106,14,11,0,0,aux
17,hyperram_model,sim/model/hyperram_model.sv,device-model(BFM),365,10,9,1,0,
